BBCDanielS,count_user
aurelienbrd,11
BreakingNews,12
SkyNews,7
washingtonpost,14
ezraklein,9
CP24,4
FoxNews,7
mashable,8
HuffingtonPost,14
BBCBreaking,11
CBCAlerts,9
FRANCE24,8
France24_en,11
GerardAraud,11
GlobalGrindNews,15
business,8
AJEnglish,9
CBSNews,7
DLoesch,7
cnnbrk,6
USATODAY,8
dmrider,7
fmanjoo,7
CTVNews,7
VigilanteArtist,15
HuffPostUK,10
peddoc63,8
cnni,4
FoxNews,7
cnni,4
Reuters,7
MarketWatch,11
AC360,5
TheWorldPost,12
CNN,3
foxnewsalert,12
BreakingNews,12
guardian,8
iowahawkblog,12
taslimanasreen,14
nytimesworld,12
NTarnopolsky,12
hildyjohns,10
LisaDaftari,11
brianstelter,12
AFPphoto,8
SkyNews,7
thompwalker,11
vicenews,8
mashable,8
BBCBreaking,11
Parazhit,8
AP,2
FRANCE24,8
H_E_Samuel,10
euronews,8
Channel4News,12
AlArabiya_Eng,13
SkyNewsBreak,12
SkyNews,7
marcburleigh,12
Independent,11
jenanmoussa,11
BreakingNews,12
JFXM,4
ynetnews,8
FoxNews,7
RT_com,6
jenanmoussa,11
mathieuvonrohr,14
standardnews,12
EricWRandolph,13
WSJ,3
BBCBreaking,11
tnewtondunn,11
SkyNewsBreak,12
AnnetteF24,10
marcburleigh,12
guardian,8
AFPphoto,8
LibyaLiberty,12
BBCBreaking,11
AFPphoto,8
SkyNewsBreak,12
Telegraph,9
SkyNews,7
RT_com,6
FRANCE24,8
SkyNews,7
timothy_stanley,15
cnni,4
guardian,8
MailOnline,10
BBCBreaking,11
Independent,11
AFPphoto,8
FRANCE24,8
BreakingNews,12
adelesmithNYC,13
MailOnline,10
piersmorgan,11
Telegraph,9
jessicaelgot,12
AFPphoto,8
fgeffardAFP,11
MailOnline,10
DailyMirror,11
TIME,4
BBCBreaking,11
mathieuvonrohr,14
MailOnline,10
AP,2
KayBurley,9
Charles_Lister,14
TelegraphNews,13
peterallenparis,15
thedailybeast,13
jenanmoussa,11
AFPphoto,8
connellyandrew,14
RachelDonadio,13
TRobinsonNewEra,15
AllawziSalim,12
euronews,8
guardiannews,12
Channel4News,12
jonsnowC4,9
thei100,7
SkyNewsBreak,12
BBCBreaking,11
SkyNews,7
PriceSlicerUK,13
Independent,11
guardian,8
CecileBrisson,13
cnnbrk,6
NickKristof,11
jamiewrit,9
TelegraphNews,13
business,8
Colvinius,9
USATODAY,8
RT_com,6
rConflictNews,13
aellick,7
ManhattanDoc,12
TIME,4
SkyNews,7
MurtazaGeoNews,14
RT_com,6
TheAnonMessage,14
kimwillsher1,12
MailOnline,10
RT_com,6
Independent,11
WSJ,3
vicenews,8
CNN,3
AJENews,7
RT_com,6
SputnikInt,10
daphneedenis,12
Whoozley,8
wikileaks,9
LukeReuters,11
mjrharris,9
notrexmurphy,12
TurkKick,8
bouckap,7
VICE,4
AgnesCPoirier,13
Independent,11
France24_en,11
Telegraph,9
HuffPostUK,10
BBCWorld,8
thedailybeast,13
Channel4News,12
AFPphoto,8
sbeaugeAFP,10
BBCBreaking,11
EliotHiggins,12
MaxAbrahms,10
WSJ,3
Charles_Lister,14
SkyNewsBreak,12
SkyNews,7
BBCBreaking,11
MashableNews,12
RT_com,6
cnni,4
cnnbrk,6
RT_com,6
FoxNews,7
washingtonpost,14
RT_com,6
thedailybeast,13
Slate,5
gert_lang_,10
tmpear,6
juliamacfarlane,15
yildirim_turker,15
Renzo_Soprano,13
jmsardo,7
Suhelis,7
AnonOpsLegion,13
Ironyisfunny8,13
MelanieTait,11
bkjabour,8
jensbest,8
AFP,3
JeffersonObama,14
HuffPostCanada,14
BBCBreaking,11
ajplus,6
MattNavarra,11
World_newsstand,15
thedahlimmama,13
Mama4Obama1,11
greenhousenyt,13
TelegraphNews,13
profdmcinnes,12
ThePoke,7
SkyNewsBreak,12
TelegraphNews,13
dandemoustier,13
BreakingNews,12
NBCNews,7
BBCBreaking,11
BuzzFeedUK,10
Independent,11
thei100,7
NBCNews,7
WSJ,3
KeyaMorgan,10
iBinThaleth,11
RT_com,6
monaeltahawy,12
BBCBreaking,11
SkyNews,7
Telegraph,9
SkyNewsBreak,12
Independent,11
RT_com,6
bbclysedoucet,13
Telegraph,9
BBCBreaking,11
AJEnglish,9
darshnasoni,11
NBCNews,7
BBCtrending,11
ABC,3
SkyNews,7
Pisarski,8
Independent,11
Independent,11
ozchrisrock,11
cnni,4
cnnbrk,6
juliamacfarlane,15
mashable,8
NBCNews,7
ohboywhatashot,14
moneyries,9
sdkstl,6
EmergentDotInfo,15
Independent,11
WSJ,3
erichbergen,11
BreakingNews,12
BBCOS,5
ArmedResearch,13
CronkiteSays,12
BBCWorld,8
russian_market,14
BBCChrisMorris,14
Le_Figaro,9
BBCBreaking,11
AFP,3
business,8
SkyNewsBreak,12
TelegraphNews,13
WSJ,3
Independent,11
SkyNews,7
NBCNews,7
AJEnglish,9
INTLSpectator,13
itvnews,7
BreakingNews,12
FRANCE24,8
cnni,4
BreakingNews,12
NBCNews,7
abcnews,7
BBCBreaking,11
ABC,3
AP,2
RT_com,6
Independent,11
SkyNews,7
FoxNews,7
BBCBreaking,11
MailOnline,10
AFP,3
RT_com,6
WSJ,3
BreakingNews,12
RT_com,6
SkyNewsBreak,12
nytimes,7
FRANCE24,8
BBCBreaking,11
nytimes,7
brownjenjen,11
BBCBreaking,11
timsullivan23,13
NBCNews,7
HuffingtonPost,14
guardiannews,12
cnnbrk,6
WSJ,3
Telegraph,9
AP,2
FoxNews,7
AFP,3
cnnbrk,6
FRANCE24,8
BBCBreaking,11
WSJ,3
RT_com,6
TIME,4
AP,2
BBCBreaking,11
RT_com,6
WSJ,3
AFPphoto,8
BBCBreaking,11
afneil,6
FoxNews,7
TelegraphPics,13
BBCBreaking,11
Telegraph,9
Observers,9
RobNisbetSky,12
MailOnline,10
RT_com,6
cnni,4
BBCBreaking,11
cnni,4
cnnbrk,6
AFP,3
BBCBreaking,11
NBCNews,7
SkyNewsBreak,12
BBCBreaking,11
SkyNewsBreak,12
CNN,3
AFPphoto,8
NewsOnTheMin,12
WSJ,3
AP,2
TheAnonMessage,14
SkyNewsBreak,12
mashable,8
AFP,3
haaretzcom,10
SkyNewsBreak,12
RT_com,6
SkyNews,7
guardian,8
FRANCE24,8
thedailybeast,13
FRANCE24,8
RT_com,6
Independent,11
PzFeed,6
nytimes,7
SkyNewsBreak,12
AFP,3
CBSNews,7
SkyNews,7
FRANCE24,8
France24_en,11
euronews,8
taylorgroupusa,14
PzFeed,6
HuffPostUK,10
AFP,3
RT_com,6
ABC,3
AFP,3
AP,2
FRANCE24,8
France24_en,11
guardiannews,12
FRANCE24,8
WSJ,3
SkyNewsBreak,12
RT_com,6
MailOnline,10
SkyNews,7
guardian,8
FRANCE24,8
AP,2
AnshelPfeffer,13
SkyNews,7
AFP,3
ABC,3
haaretzcom,10
France24_en,11
SkyNewsBreak,12
Annabellvdb,11
BklynMiddleton,14
FoxNews,7
FoxNews,7
JulienPain,10
TIME,4
USATODAY,8
AFPphoto,8
AP,2
AP,2
ShirazMaher,11
RT_com,6
Reuters,7
WSJ,3
peoplemag,9
PzFeed,6
AP,2
BBCBreaking,11
rConflictNews,13
JulienPain,10
BreakingNews,12
AFP,3
mashable,8
rConflictNews,13
yurybarmin,10
SkyNews,7
afneil,6
SkyNewsBreak,12
RT_com,6
JulienPain,10
SkyNews,7
cnnbrk,6
PzFeed,6
iankeithtom,11
cnnbrk,6
SkyNews,7
nytimes,7
SkyNewsBreak,12
AvitalLeibovich,15
debra_kamin,11
AP,2
IsraelHatzolah,14
SkyNews,7
ABC,3
AP,2
PzFeed,6
DanBilefsky,11
AP,2
ABC,3
SkyNewsBreak,12
AP,2
SkyNews,7
WSJ,3
FoxNews,7
cnnbrk,6
cnni,4
AP,2
cnnbrk,6
euronews,8
KayBurley,9
France24_en,11
PzFeed,6
AFP,3
RT_com,6
SkyNews,7
cnnbrk,6
AFPphoto,8
FRANCE24,8
France24_en,11
SkyNewsBreak,12
AgnesCPoirier,13
mattfrei,8
MailOnline,10
cjwerleman,10
bbc5live,8
FRANCE24,8
HuffingtonPost,14
Le_Figaro,9
AFPphoto,8
SunNewsdesk,11
Telegraph,9
USATODAY,8
SkyNewsBreak,12
AP,2
AFPphoto,8
WSJ,3
AFP,3
PzFeed,6
Telegraph,9
FRANCE24,8
Reuters,7
Tburgeswatson,13
AFPphoto,8
SkyNews,7
CBCAlerts,9
AFP,3
BBCBreaking,11
SkyNews,7
AJENews,7
SkyNewsBreak,12
annaxsweat,10
AntonioFrench,13
AntonioFrench,13
Cassie_Xtassy,13
JChiron18,9
JChiron18,9
BradWillis,10
jay_slypig,10
ElizabethKSDK,13
LewisGD,7
traciethoms,11
AntonioFrench,13
AngryBlackLady,14
AntonioFrench,13
TonyGaskins,11
tariqnasheed,12
TonyGaskins,11
TheObamaDiary,13
lakia_p,7
QuiltingMuriel,14
TheObamaDiary,13
dopegirlfresh,13
dopegirlfresh,13
QuiltingMuriel,14
christocarbone,14
lolitasaywhat,13
gabra_cadabra,13
sarahkendzior,13
SoulRevision,12
lolitasaywhat,13
AntonioFrench,13
LocaFMCGB,9
MichaelSkolnik,14
_peech,6
MichaelSkolnik,14
_peech,6
MichaelSkolnik,14
TheObamaDiary,13
MichaelSkolnik,14
vcmitchelljr,12
sarahkendzior,13
ReignOfApril,12
heisenburrger,13
AntonioFrench,13
TammieHolland,13
AntonioFrench,13
AntonioFrench,13
BunBTrillOG,11
AntonioFrench,13
NerdyWonka,10
AntonioFrench,13
edeweysmith,11
linc0lnpark,11
MichaelSkolnik,14
AntonioFrench,13
ReignOfApril,12
AntonioFrench,13
PlayVicious,11
TheObamaDiary,13
sarahkendzior,13
IngaNandiwillis,15
PlayVicious,11
PresidentPat,12
PlayVicious,11
MichaelSkolnik,14
mollycrabapple,14
brennamuncy,11
GivethNoFucketh,15
SoulRevision,12
Dreamdefenders,14
GrooveSDC,9
_westwest_yall,14
budLightVillain,15
LuLuBunni1,10
kayoazul,8
AntonioFrench,13
I_HATE_VA,9
tommyxtopher,12
AntonioFrench,13
_GaelEB,7
BunBTrillOG,11
lolitasaywhat,13
AntonioFrench,13
AntonioFrench,13
MrStevenGeorge,14
AntonioFrench,13
bannerite,9
AntonioFrench,13
Tiffanydloftin,14
NerdyWonka,10
SoulRevision,12
AntonioFrench,13
Newyorkist,10
ElizabethKSDK,13
createdbyerica,14
WyzeChef,8
CassandraRules,14
createdbyerica,14
ReignOfApril,12
NIKKI_T,7
MichaelSkolnik,14
capetownbrown,13
sarahkendzior,13
JRehling,8
MichaelSkolnik,14
UncleRUSH,9
capetownbrown,13
corruptcopsTX,13
capetownbrown,13
AntonioFrench,13
MichaelSkolnik,14
kharyp,6
YourAnonNews,12
VABVOX,6
tommyxtopher,12
tommyxtopher,12
OccupiedTimes,13
PoliticsPeach,13
ItsDLeon,8
Marmel,6
AntonioFrench,13
kharyp,6
TheRoot,7
AntonioFrench,13
BWildeCTV,9
AntonioFrench,13
RIGHTJUST843,12
MichaelSkolnik,14
bjork55,7
AntonioFrench,13
UncleRUSH,9
Marmel,6
AntonioFrench,13
AntonioFrench,13
AntonioFrench,13
AntonioFrench,13
caulkthewagon,13
AntonioFrench,13
AntonioFrench,13
iHitModelsRaw,13
AntonioFrench,13
MichaelSkolnik,14
AntonioFrench,13
MichaelSkolnik,14
GrooveSDC,9
zenlikefury,11
AntonioFrench,13
AntonioFrench,13
AntonioFrench,13
adept2u,7
brokeymcpoverty,15
AntonioFrench,13
YourAnonNews,12
YourAnonNews,12
lordxmen2k,10
jamiekilstein,13
kupkakekami,11
AntonioFrench,13
TheOnlyReed,11
walterwkatz,11
TLaTela,7
Marmel,6
AntonioFrench,13
tariqnasheed,12
kharyp,6
FOX2now,7
corruptcopsTX,13
EricWolfson,11
3ChicsPolitico,14
AttitudeRih_,12
slb79,5
sfpelosi,8
ShowTimeDeonta,14
MMGTerrick24,12
Dreamdefenders,14
Dreamdefenders,14
michaelcalhoun,14
dierdrelewis,12
QuiltingMuriel,14
AntonioFrench,13
AntonioFrench,13
BillyInked,10
Marmel,6
AntonioFrench,13
AntonioFrench,13
MariaLiaCalvo,13
AntonioFrench,13
RiverfrontTimes,15
Dreamdefenders,14
AntonioFrench,13
blackink12,10
ColorOfChange,13
Crypt0nymous,12
rortybomb,9
PoliticsNation,14
Newsweek,8
EliKMBC,7
YourAnonNews,12
tishaura,8
hamletgarcia17,14
blackink12,10
ComplexMag,10
BET,3
walterolson,11
drgoddess,9
HalDockins,10
drgoddess,9
drgoddess,9
drgoddess,9
drgoddess,9
drgoddess,9
drgoddess,9
syndicalisms,12
AntonioFrench,13
AntonioFrench,13
AntonioFrench,13
AntonioFrench,13
AntonioFrench,13
AntonioFrench,13
Nettaaaaaaaa,12
NatureGuy101,12
tishaura,8
mattyglesias,12
AntonioFrench,13
AntonioFrench,13
mflann,6
KhaledBeydoun,13
YourAnonNews,12
ShaunKing,9
andybankertv,12
GeoffRickly,11
TeaPartyCat,11
AmyMek,6
jrzygirlinfla,13
mattdpearce,11
ProfessorCrunk,14
occupythemob,12
AntonioFrench,13
AntonioFrench,13
iMONST3R,8
mattdpearce,11
AntonioFrench,13
PresReed,8
Nettaaaaaaaa,12
jamalhbryant,12
MsPackyetti,11
HalpernAlex,11
jblack501c3,11
EliKMBC,7
PDPJ,4
ForRevolution,13
Muna_Mire,9
mattdpearce,11
mattdpearce,11
CaseyNolen,10
YourAnonGlobal,14
RayDowns,8
AntonioFrench,13
CaseyNolen,10
princebraden,12
princebraden,12
colonelpotter1,14
jonrog1,7
YourAnonGlobal,14
akronwobbly,11
AntonioFrench,13
mattdpearce,11
AntonioFrench,13
paulbenedict7,13
SoulRevision,12
ZaidJilani,10
AntonioFrench,13
Nettaaaaaaaa,12
PDPJ,4
aemccarthy,10
TheGoodGodAbove,15
BET,3
valeriehahn,11
SE_Progress,11
YourAnonGlobal,14
manofsteele,11
AntonioFrench,13
Nettaaaaaaaa,12
AntonioFrench,13
valeriehahn,11
AntonioFrench,13
umairh,6
kodacohen,9
umairh,6
Nettaaaaaaaa,12
Nettaaaaaaaa,12
HSamyAlim,9
Newsweek,8
tysonmanker,11
Nettaaaaaaaa,12
StupidTeanuts,13
nicklito_,9
TheePharoah,11
traciethoms,11
MossyGene,9
AntonioFrench,13
KhaledBeydoun,13
Nettaaaaaaaa,12
kevinDAtruth88,14
stevenoh88,10
CassandraRules,14
PrisonPlanet,12
spiffyrocks,11
PrisonPlanet,12
PrisonPlanet,12
MCHammer,8
NIGNORAMUS,10
nagoul1,7
RWwatchMA,9
Simplemachines_,15
AntheaButler,12
DahmPublishing,14
NikkiWoods,10
AntonioFrench,13
thesoulasylum,13
ksdknews,8
AntonioFrench,13
WesleyLowery,12
AntonioFrench,13
WesleyLowery,12
jackfrombkln,12
etanthomas36,12
blackgirlinmain,15
ChrSexMaven,11
GlobalGrindNews,15
stlpublicradio,14
TheBaxterBean,13
WesleyLowery,12
zellieimani,11
TheEconomist,12
occupythemob,12
ProfessorCrunk,14
AntonioFrench,13
splcenter,9
MatthewKick,11
WesleyLowery,12
TeaPartyCat,11
RealMattKane,12
Marmel,6
GOPTeens,8
SoulRevision,12
BillMoyersHQ,12
ClayPerryMusic,14
David_EHG,9
ClayPerryMusic,14
LauraKHettiger,14
TalibKweli,10
pmocek,6
CitizenRadio,12
thelittleidiot,14
RealAlexJones,13
WesleyLowery,12
RiseCoffeeSTL,13
WesleyLowery,12
Ladyy_Rhe,9
Marmel,6
TheFinalCall,12
BrianDominick,13
WesleyLowery,12
GeoffThorne,11
PDPJ,4
WesleyLowery,12
ryanjreilly,11
WesleyLowery,12
Nettaaaaaaaa,12
ryanjreilly,11
AntonioFrench,13
GeeDee215,9
RiseCoffeeSTL,13
WillMcAvoyACN,13
SoulRevision,12
WesleyLowery,12
YourAnonNews,12
GlobalGrindNews,15
SLMPD,5
BmoreConetta,12
funlibertarian,14
Copwatch,8
AntonioFrench,13
Slate,5
saladinahmed,12
leisazigman,11
larryelder,10
larryelder,10
ChrisCubas,10
Panger2014,10
AmyMek,6
TheRevAl,8
Nettaaaaaaaa,12
AmyMek,6
ACLU,4
Copwatch,8
princebraden,12
WesleyLowery,12
legalizepotusa,14
AntonioFrench,13
XLNB,4
AntonioFrench,13
KeeganNYC,9
Alyssa_Milano,13
atmosphere,10
MichaelMechanic,15
ksdknews,8
WeRAllAnonymous,15
NFLGoodwitch,12
WeRAllAnonymous,15
rxpatrick,9
SoulRevision,12
mattdpearce,11
fuzethemc,9
Anon_GovWatchCA,15
AmyMek,6
RobertDEdwards,14
monaeltahawy,12
LauraKHettiger,14
AmyMek,6
nycjim,6
RobertDEdwards,14
andylassner,11
BridjesONeil,12
aterkel,7
AntonioFrench,13
TeaPartyCat,11
ProPublica,10
CaseyNolen,10
LaurieSkrivan,13
charles270,10
LaurieSkrivan,13
nycjim,6
AntonioFrench,13
solimanderrrr,13
Occupied_Nation,15
TuxcedoCat,10
alicesperi,10
WesleyLowery,12
StLHandyMan,11
RobertDEdwards,14
ryanjreilly,11
KMOV,4
AndreyPanevin,13
YoungJeezy,10
kharyp,6
Nettaaaaaaaa,12
ndiblasio,9
hrw,3
nealcarter,10
elonjames,9
TheRoot,7
thedailybeast,13
ShroudSciuridae,15
sebwalker,9
markbland,9
FOX2now,7
ryanjreilly,11
BigBoi,6
alicesperi,10
ryanjreilly,11
elonjames,9
FOX2now,7
brokeymcpoverty,15
FOX2now,7
JoshuaHol,9
elonjames,9
AntonioFrench,13
PDPJ,4
mattblaze,9
elonjames,9
BigBoi,6
AntonioFrench,13
AntonioFrench,13
PDPJ,4
ryanjreilly,11
JJohnsonKMOV,12
ImranHSarker,12
YourAnonNews,12
YourAnonNews,12
YourAnonNews,12
RT_com,6
BmoreConetta,12
BranTheDon_,11
YourAnonGlobal,14
elonjames,9
YourAnonNews,12
WesleyLowery,12
dangillmor,10
elonjames,9
YourAnonNews,12
sebwalker,9
BmoreConetta,12
Karnythia,9
CharlesMBlow,12
ImranHSarker,12
wagner_darren,13
BmoreConetta,12
AntonioFrench,13
Nettaaaaaaaa,12
AntonioFrench,13
PaulSzoldra,11
Joe_Schmucc,11
KoranAddo,9
BoingBoing,10
mattblaze,9
KoranAddo,9
YourAnonNews,12
elonjames,9
Green_Footballs,15
BmoreConetta,12
Crypt0nymous,12
Jonssonville,12
elonjames,9
elonjames,9
YourAnonNews,12
BmoreConetta,12
TUSK81,6
YourAnonNews,12
PaulSzoldra,11
BmoreConetta,12
BmoreConetta,12
xuhulk,6
elonjames,9
YourAnonNews,12
Nettaaaaaaaa,12
jelani9,7
SOSpodcast,10
ImranHSarker,12
YourAnonNews,12
fordm,5
matt_tharp,10
PaulSzoldra,11
xor,3
Nettaaaaaaaa,12
grasswire,9
alicesperi,10
Crypt0nymous,12
grasswire,9
AntonioFrench,13
TheAPJournalist,15
walterwkatz,11
Karnythia,9
YourAnonNews,12
umairh,6
AntonioFrench,13
Joe_Schmucc,11
SOSpodcast,10
TheObamaDiary,13
BmoreConetta,12
Astro_Hanso,11
jelani9,7
TVMarci,7
sa_roux,7
AntonioFrench,13
KentonTilford,13
Joe_Schmucc,11
SoloExMachina,13
iSmashFizzle,12
Anon2earth,10
YourAnonNews,12
AntheaButler,12
MichaelSkolnik,14
YNPierce,8
grasswire,9
hystericalblkns,15
occupythemob,12
YourAnonNews,12
LauraKeeney,11
AntonioFrench,13
zaibatsu,8
anildash,8
ArchbishopYoung,15
cnni,4
AllysonxGill,12
ArchbishopYoung,15
ISwearIAintHit,14
ReQCartier,10
JoyAnnReid,10
AnonymousPress,14
aaronernst,10
grasswire,9
JFXM,4
Suntimes,8
Nettaaaaaaaa,12
TheAnonMessage2,15
JFXM,4
YourAnonNews,12
TheAnonMessage2,15
MateCosido,10
RT_com,6
WSJ,3
FergusonUnity,13
OccupyLondon,12
WallyBeamin,11
AnonyOps,8
alphabetsuccess,15
Newsweek,8
Steiner1776,11
AnonOpsLegion,13
C0d3fr0sty,10
blackvoices,11
Shellspeare,11
TheAnonMessage2,15
RiotfromWrong,13
alphabetsuccess,15
PrisonPlanet,12
BlackIrishI,11
MichaelSkolnik,14
Belalmd12,9
wessmith123,11
RT_com,6
MichaelSkolnik,14
zaibatsu,8
PCKeeper,8
Popehat,7
MiaFarrow,9
CNNKatelyn,10
EricWolfson,11
USATODAY,8
NoShock,7
shebe86,7
shebe86,7
thecrisismag,12
thecrisismag,12
NewDay,6
kharyp,6
walterolson,11
garyyounge,10
LondonBlackRevs,15
ostadjaan,9
HuffPostPol,11
AnonyOps,8
larryelder,10
cnnireport,10
TPM,3
TalibKweli,10
AntonioFrench,13
MatthewKick,11
ryanjreilly,11
PressTV,7
LauraKHettiger,14
plussone,8
KatieGonzalez12,15
garyyounge,10
occupythemob,12
RapGenius,9
UncleRUSH,9
FOX2now,7
stltoday,8
alanblinder,11
MichaelSkolnik,14
NBCNews,7
TheRoot,7
Smith83K,8
alpha1906,9
UniteBlueKY,11
DreadlockDipset,15
TheAnonMessage2,15
nkjemisin,9
MotherJones,11
sigridellis,11
Marmel,6
TheAnonMessage2,15
PrestonMitchum,14
mollycrabapple,14
PrestonMitchum,14
Harvard_Law,11
jamalhbryant,12
Nettaaaaaaaa,12
CapehartJ,9
jamalhbryant,12
MichaelSkolnik,14
amnesty,7
MiaFarrow,9
blackmadonnachi,15
democracynow,12
3ChicsPolitico,14
ACLU,4
ryanjreilly,11
WayneDupreeShow,15
CNN,3
AfricanaCarr,12
BillyCorben,11
larryelder,10
rolandsmartin,13
Consider_This3,14
GetWisdomDude,13
ImJustHereLivin,15
occbaystreet,12
FreeTopher,10
syndicalisms,12
larryelder,10
YourAnonGlobal,14
fallongreen15,13
YourAnonNews,12
jaeahjlee,9
AntonioFrench,13
JohnHenryKSDK,13
YourAnonGlobal,14
AntonioFrench,13
ACLU,4
elisacrouch,11
TwitterData,11
AntonioFrench,13
AntonioFrench,13
ryanjreilly,11
AnonyOps,8
AntonioFrench,13
SusanSarandon,13
PatMcGonigleNBC,15
AntonioFrench,13
AntonioFrench,13
AntonioFrench,13
elonjames,9
USATODAY,8
elonjames,9
MotherJones,11
Yakiblog,8
BmoreConetta,12
saveNRG,7
ACLU,4
AnonyOps,8
TarekFatah,10
YourAnonGlobal,14
mashable,8
piersmorgan,11
YourAnonGlobal,14
RaniaKhalek,11
MarlonWayans,12
YourAnonNews,12
msnbc,5
Jarjarbug,9
joseiswriting,13
kumailn,7
prisonculture,13
clydetheslyde,13
thenation,9
PrestonMitchum,14
fightfortheftr,14
BBCWorld,8
HuffingtonPost,14
davidsirota,11
stephenfhayes,13
yourtake,8
kim_tastiic,11
khamenei_ir,11
larryelder,10
ACLU,4
khamenei_ir,11
edeweysmith,11
Nettaaaaaaaa,12
cjwerleman,10
khamenei_ir,11
WesleyLowery,12
khamenei_ir,11
blowticious,11
CapehartJ,9
CapehartJ,9
AntonioFrench,13
tjholmes,8
footklansoldier,15
BradWillis,10
ResistanceER,12
AamerISmad,10
RayBeckerman,12
_maryec,7
Eric_Haywood,12
WSJspeakeasy,12
PresReed,8
zeynep,6
STLAbuBadu,10
MotherJones,11
ryanjreilly,11
thenation,9
moody,5
jaredbkeller,12
occupythemob,12
RealAlexJones,13
occupythemob,12
occupythemob,12
AnonymousPress,14
num1_fan,8
YourAnonGlobal,14
NewYorker,9
YourAnonNews,12
MiamiLib,8
cmclymer,8
LisaBloom,9
chrislhayes,11
TUSK81,6
cmclymer,8
cmclymer,8
mashable,8
jouerdur,8
JeniferLewis,12
christianism,12
ACLU,4
Sifill_LDF,10
AntonioFrench,13
Sifill_LDF,10
Slate,5
kudipeaches,11
Newsweek,8
ForeignPolicy,13
ACLU,4
thenation,9
DIBHakanFidan,13
sabokitty,9
fightfortheftr,14
TheRoot,7
AntonioFrench,13
DrBasselAbuward,15
TheEyeOfControl,15
omarsuleiman504,15
RealAlexJones,13
the_intercept,13
KathrynBruscoBk,15
Darkside,8
TefPoe,6
kim_tastiic,11
alexheuer,9
KevDGrussing,12
TEDTalks,8
AntonioFrench,13
ryanjreilly,11
MissAngelaDavis,15
aclu_mo,7
wikileaks,9
TVMarci,7
EricWolfson,11
DrBasselAbuward,15
rhrealitycheck,14
TheJazzyBelle,13
TheEyeOfControl,15
bobby_griffith,14
ACLU,4
ZerlinaMaxwell,14
hollywood_trey,14
ACLU,4
vondellswain,12
kathygriffin,12
LadySandersfarm,15
BlueNationUntd,14
Marmel,6
DrBasselAbuward,15
AnonyOps,8
bkesling,8
ryanodonnell,12
JamesPMorrison,14
zellieimani,11
elonjames,9
stevegiegerich,14
ItsDLeon,8
CaseyNolen,10
TruthfulOrator,14
AnthonyCumia,12
1Marchella,10
AmeenaGK,8
inthefade,9
rtgarden,8
MichaelSkolnik,14
MichaelSkolnik,14
Ana_Mubasher,12
3ChicsPolitico,14
YourAnonGlobal,14
Virtuous_QueenT,15
MichaelSkolnik,14
syndicalisms,12
Nettaaaaaaaa,12
MichaelSkolnik,14
MichaelSkolnik,14
QuadCityPat,11
QuadCityPat,11
iboudreau,9
SoulRevision,12
unpreachedtruth,15
AnonymousPress,14
BridjesONeil,12
clydetheslyde,13
WyzeChef,8
nagoul1,7
Nettaaaaaaaa,12
AllisonBlood,12
ksdknews,8
valeriehahn,11
valeriehahn,11
occbaystreet,12
occbaystreet,12
HuffingtonPost,14
kmoxnews,8
USATODAY,8
AntonioFrench,13
MichaelSkolnik,14
occupythemob,12
aterkel,7
GlobalGrind,11
Alyssa_Milano,13
larryelder,10
RokBailey,9
AmyMek,6
Malt_bia,8
vondellswain,12
YourAnonNews,12
maxkeiser,9
RaniaKhalek,11
TheAnonMessage2,15
ABC,3
RyanDeanKSDK,12
TheAnonMessage2,15
NBCNews,7
michaelcalhoun,14
AntonioFrench,13
USATODAY,8
mashable,8
dklevan,7
ChrissyCole,11
ReutersUS,9
CNN,3
sophiajanmoore,14
TheAnonMessage2,15
blackvoices,11
mashable,8
AnonyOps,8
AntonioFrench,13
RT_com,6
tariqnasheed,12
NerdyWonka,10
ComplexPop,10
FoxNews,7
ABC,3
DanteB4u,8
edeweysmith,11
HeyDrWilson,11
CNNVideo,8
DreadlockDipset,15
Yamiche,7
keithboykin,11
scATX,5
MichaelaAngelaD,15
DIANAZOGA,9
ThroatChopU,11
scATX,5
TheAnonMessage2,15
TheAnonMessage2,15
roseneath_rd,12
Nettaaaaaaaa,12
hollywood_trey,14
FoxNews,7
Chris_1791,10
Nettaaaaaaaa,12
AntonioFrench,13
zellieimani,11
aterkel,7
Nettaaaaaaaa,12
jaelithe,8
ReignOfApril,12
imillhiser,10
mashable,8
DavidCornDC,11
jsguntzel,9
SistahScholar,13
NBCNews,7
capetownbrown,13
DreadlockDipset,15
scarylawyerguy,14
wizdom4you,10
elonjames,9
GrooveSDC,9
SnottieDrippen,14
jamalhbryant,12
DreadlockDipset,15
owillis,7
TheAnonMessage2,15
djvjgrrl,8
afroazn,7
MichaelaAngelaD,15
AlexLittleTN,12
YourAnonLive,12
MickSweetman,12
rolandsmartin,13
LisaBloom,9
brettblumekmox,14
footklansoldier,15
OrionBuckingham,15
GrooveSDC,9
stevesilberman,14
AntonioFrench,13
rkn429,6
larryelder,10
itsthatseanguy,14
elonjames,9
lousycanuck,11
NBCNews,7
MoMs_XoXoxo,11
JustinGlawe,11
CharlesMBlow,12
msnbc,5
HaroldItz,9
AamerISmad,10
AngryBlackLady,14
PaulSzoldra,11
vicenews,8
140elect,8
LisaBloom,9
MicahSingleton,14
BigBoi,6
PastorSilver,12
Quis11_,7
theonlyadult,12
gregpinelo,10
CousinDangereux,15
twice_sifted,12
PrisonPlanet,12
