Text,Source,User.Name,User.Screen_name,User.Location,User.Url,User.Description,User.Verified,User.Followers_count,User.Friends_count,User.Listed_count,User.Favourites_count,User.Statuses_count,User.Created_at,User.default_profile_image,User.following,Is_quote_status,Retweeted_status,Quote_count,Reply_count,Retweet_count,Favorite_count,Favorited,Retweeted,Possibly_sensitive,TweetLength,NumberOfWords,HasUrl,UrlCount,HasMentions,MentionsCount,HasHashtags,HashtagsCount,HasQuestionMark,QuestionMarkCount,HasExclamation,ExclamationCount,HasSpecialCharacter,SpecialCharacterCount,HasEmotions,EmotionsCount,AccountAge,FollowersToAccountAge,FriendsToAccountAge,StatusesCountToAccountAge,Class
#CharlieHebdo: what we know so far http://t.co/7GgpZ4tKlF http://t.co/yMGSiOnl3H,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Claire Phipps,Claire_Phipps,London,http://t.co/iSgE0SHawV,"Senior live blogger, occasional live tweeter, for http://t.co/CRLUmsPUY9; former editor on the Guardian home news desk",TRUE,15086,989,541,631,19373,Tue Jul 20 22:14:25 +0000 2010,FALSE,FALSE,FALSE,null,null,null,196,35,FALSE,FALSE,FALSE,80,8,TRUE,2,FALSE,0,TRUE,1,FALSE,0,FALSE,0,TRUE,6,FALSE,0,5,3017.2,197.8,3874.6,non-rumour
#CharlieHebdo shooting: what we know so far http://t.co/6YUX5mot92 http://t.co/nC9fYCh6qd,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",Guardian news,guardiannews,London,http://t.co/xVXmcbsRq4,Latest news from the Guardian,TRUE,1557582,1319,27177,5,82067,Thu Feb 22 12:32:47 +0000 2007,FALSE,FALSE,FALSE,null,null,null,684,117,FALSE,FALSE,FALSE,89,9,TRUE,2,FALSE,0,TRUE,1,FALSE,0,FALSE,0,TRUE,6,FALSE,0,8,194697.75,164.875,10258.375,non-rumour
"Shooting at #CharlieHebdo ""an attack on freedom"", says Dominque Moisi, Parisian political analyst: http://t.co/B3AvGBwp82","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",BBC Radio 5 live,bbc5live,"Salford, United Kingdom",http://t.co/5izLApyMSV,"The @BBC's home of breaking news and sport: where stories come to life.



Tweet @bbc5live to contact the studio directly.",TRUE,462690,13655,3744,770,51319,Thu Jul 19 16:30:09 +0000 2007,FALSE,FALSE,FALSE,null,null,null,124,45,FALSE,FALSE,FALSE,121,14,TRUE,1,FALSE,0,TRUE,1,FALSE,0,FALSE,0,TRUE,3,FALSE,0,8,57836.25,1706.875,6414.875,non-rumour
"World leaders condemn the #CharlieHebdo attack as ""barbaric"", ""sickening"" and ""intolerable"". http://t.co/c05qiB7eIu http://t.co/HaijRrbwlz","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Sky News,SkyNews,"London, UK",http://t.co/7witOoeYyy,"Stories direct from the @SkyNews newsroom. Tweet us your queries and questions. For breaking news, follow @SkyNewsBreak.",TRUE,1783363,17,14679,2,122224,Thu Jul 19 14:42:53 +0000 2007,FALSE,FALSE,FALSE,null,null,null,137,37,FALSE,FALSE,FALSE,138,13,TRUE,2,FALSE,0,TRUE,1,FALSE,0,FALSE,0,TRUE,6,FALSE,0,8,222920.375,2.125,15278,non-rumour
"Horrific news re Charlie Hebdo. People of huge courage, wit and integrity murdered by people who find those ideas frightening. Awful.","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",David Schneider,davidschneider,London,http://t.co/TDfy0liSpV,"Actor, writer, comedian, fool.",TRUE,195966,1167,3451,1767,18497,Wed Feb 04 21:47:34 +0000 2009,FALSE,FALSE,FALSE,null,null,null,242,191,FALSE,FALSE,FALSE,133,21,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,6,32661,194.5,3082.833333,non-rumour
"Killing innocent people in the name of Islam is much, much more offensive to me than any cartoon can ever be. #CharlieHebdo","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Baghdad Invest,baghdadinvest,Baghdad Iraq,http://t.co/QH222SOnAl,Blogging about current affairs in Iraq. Campaigning for a better #Iraq. Adore #Baghdad. Visit our blog today: http://t.co/QH222SOnAl,FALSE,21473,17555,342,5426,23265,Mon Nov 01 21:52:49 +0000 2010,FALSE,FALSE,FALSE,null,null,null,413,236,FALSE,FALSE,FALSE,123,22,FALSE,0,FALSE,0,TRUE,1,FALSE,0,FALSE,0,FALSE,0,FALSE,0,5,4294.6,3511,4653,non-rumour
"Make Fun of Hindu God's #PK = Creativity , Freedom of Expression
Make Fun of A Prophet = 12 killed 

#CharlieHebdo http://t.co/1qQGFtuhO2","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Rishi Bagree,rishibagree,"India , Kolkata ",null,"Proud Indian. Hindu Nationalist. Patriot.Believes INDIA first ,MBA in Fin. Manchester Business School. Investments & PE Bridgewater LLP, Supports NaMo / BJP",FALSE,9975,1695,87,12218,24183,Tue May 25 15:26:33 +0000 2010,FALSE,FALSE,FALSE,null,null,null,178,80,FALSE,FALSE,FALSE,137,21,TRUE,1,FALSE,0,TRUE,2,FALSE,0,FALSE,0,TRUE,3,FALSE,0,5,1995,339,4836.6,non-rumour
#CharlieHebdo massacre: 'Attack will heighten anti-Islamic tensions across Europe' http://t.co/1EBlSuVTWe,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",RT,RT_com,,http://t.co/bDDyvy9DmR,"RT, the global news network, broadcasts from Moscow, London and Washington studios to over 100 countries.",TRUE,842445,460,13588,26,105020,Tue Aug 11 06:12:45 +0000 2009,FALSE,FALSE,FALSE,null,null,null,138,40,FALSE,FALSE,FALSE,105,10,TRUE,1,FALSE,0,TRUE,1,FALSE,0,FALSE,0,TRUE,4,FALSE,0,6,140407.5,76.66666667,17503.33333,non-rumour
"Hours before the attack, #CharlieHebdo published a cartoon featuring the Islamic State: http://t.co/Jfqmha1GdV (epa) http://t.co/yeWyZxIdHH","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",USA TODAY,USATODAY,"USA TODAY HQ, McLean, Va.",http://t.co/7xDl0vVHSt,The latest news and most interesting stories from USA TODAY. News that's meant to be shared.,TRUE,1408052,781,24077,830,106968,Wed Aug 06 19:55:31 +0000 2008,FALSE,FALSE,FALSE,null,null,null,148,35,FALSE,FALSE,FALSE,139,15,TRUE,2,FALSE,0,TRUE,1,FALSE,0,FALSE,0,TRUE,8,FALSE,0,7,201150.2857,111.5714286,15281.14286,non-rumour
"it'll be fascinating to see how all the topical satire shows on British TV respond to the #CharlieHebdo murders. Oh no, hang on...","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Charlie Skelton,deYook,,null,Let me be your electrician.,FALSE,2859,71,49,1,2002,Wed Apr 07 11:13:23 +0000 2010,FALSE,FALSE,FALSE,null,null,null,188,171,FALSE,FALSE,FALSE,130,23,FALSE,0,FALSE,0,TRUE,1,FALSE,0,FALSE,0,FALSE,0,FALSE,0,5,571.8,14.2,400.4,non-rumour
If we submit to extremists this Cartoon by Robert Mankoff from The New Yorker will be the norm. #CharlieHebdo http://t.co/sNMbQVPlqJ,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Liam Shorte,SMSFCoach,Castle Hill,http://t.co/rCOSxboMlY,Financial Planner & SMSF Specialist Advisor? coaching clients to take back control of their future. #FSSmileys Scholar of the Year. Let me save your retirement!,FALSE,1815,1103,56,201,6905,Thu May 21 06:34:15 +0000 2009,FALSE,FALSE,FALSE,null,null,null,226,70,FALSE,FALSE,FALSE,132,20,TRUE,1,FALSE,0,TRUE,1,FALSE,0,FALSE,0,TRUE,3,FALSE,0,6,302.5,183.8333333,1150.833333,non-rumour
Thousands tweeting #JeSuisCharlie in support of #CharlieHebdo. http://t.co/GfdXTw6jgl,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Anne-Marie Tomchak,AMTomchak,"London, United Kingdom",http://t.co/sWHWcv71qV,Reporting the compelling stories from social media on BBC World News and BBC Trending. http://t.co/qhTF4XzVnQ,TRUE,4576,1480,146,1828,6024,Mon Jan 24 13:57:19 +0000 2011,FALSE,FALSE,FALSE,null,null,null,449,117,FALSE,FALSE,FALSE,85,8,TRUE,1,FALSE,0,TRUE,2,FALSE,0,FALSE,0,TRUE,3,FALSE,0,4,1144,370,1506,non-rumour
"If we hate after atrocities like this, we're doing exactly what the perpetrators want us to do #CharlieHebdo","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Owen Jones,OwenJones84,London,http://t.co/S2NqGFUWLG,"A 'braying jackal' according to Fox News. Author of 'The Establishment' and 'Chavs', Socialist, Guardian columnist. Losing my Northern accent. My views etc...",TRUE,241721,3307,2829,5,84812,Wed Aug 12 14:09:35 +0000 2009,FALSE,FALSE,FALSE,null,null,null,1082,1561,FALSE,FALSE,FALSE,108,18,FALSE,0,FALSE,0,TRUE,1,FALSE,0,FALSE,0,FALSE,0,FALSE,0,6,40286.83333,551.1666667,14135.33333,non-rumour
The car used by armed gunmen who stormed the Paris offices of satirical newspaper #CharlieHebdo Photo D. Faget #AFP http://t.co/ZBkDglcBcE,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",AFP Photo Department,AFPphoto,worldwide,http://t.co/b5OsW0fRWU,AFP Photo's official Twitter account. Tweeting news and features from Agence France-Presse's global photo network,FALSE,36065,241,1474,70,4627,Mon Oct 08 14:43:38 +0000 2012,FALSE,FALSE,FALSE,null,null,null,269,49,FALSE,FALSE,FALSE,138,20,TRUE,1,FALSE,0,TRUE,2,FALSE,0,FALSE,0,TRUE,3,FALSE,0,3,12021.66667,80.33333333,1542.333333,non-rumour
"Gunmen responsible for deadly attack on #CharlieHebdo are still on the loose, @fhollande says. http://t.co/sBOkqaRg1Y http://t.co/km88JvZmCa","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",CNN,CNN,,http://www.cnn.com,It?s our job to #GoThere and tell the most difficult stories. Come with us!,TRUE,15372714,1035,102204,896,54281,Fri Feb 09 00:35:02 +0000 2007,FALSE,null,FALSE,null,null,null,724,188,FALSE,FALSE,FALSE,140,16,TRUE,2,TRUE,1,TRUE,1,FALSE,0,FALSE,0,TRUE,6,FALSE,0,8,1921589.25,129.375,6785.125,non-rumour
Pray for the victims. Deadly terrorist attack on French magazine Charlie Hebdo in Paris #FreePress http://t.co/HCEG92Zxtz,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Parazhit,Parazhit,Miami (US) ˙ Paris (FR),http://t.co/KG8jlKpTVB,Official account of Parazhit - The World's Largest EDM Radio Station | Email: contact@parazhit.com | Snapchat: Parazhit | Instagram: Parazhit,FALSE,105484,67587,278,7294,457,Sun Oct 02 09:55:11 +0000 2011,FALSE,FALSE,FALSE,null,null,null,117,83,FALSE,FALSE,FALSE,121,16,TRUE,1,FALSE,0,TRUE,1,FALSE,0,FALSE,0,TRUE,3,FALSE,0,4,26371,16896.75,114.25,non-rumour
"This doesn't represent all Muslims, but, sorry, it does represent the official Islamic school of a certain key Arab state. #CharlieHebdo","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Iyad El-Baghdadi,iyad_elbaghdadi,Seeking asylum in Norway,http://t.co/9AqOwa5lFx,"Startup consultant, Arab Spring activist, author. Islamic libertarian. Made in the UAE, expelled from the UAE. #ArabTyrantManual #ArabSpringManifesto",FALSE,34483,1659,1428,6421,74126,Wed Jan 07 15:56:57 +0000 2009,FALSE,FALSE,FALSE,null,null,null,804,314,FALSE,FALSE,FALSE,136,21,FALSE,0,FALSE,0,TRUE,1,FALSE,0,FALSE,0,FALSE,0,FALSE,0,6,5747.166667,276.5,12354.33333,non-rumour
RIP #CharlieHebdo jihadist terrorist victims.This is why I'd tweeted it was so important for Muslims to openly *not* be offended by cartoons,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>",Maajid Nawaz,MaajidNawaz,London,http://t.co/Fa5kANq4Fg,Author: autobiography RADICAL / Chairman @QuilliamF / Personal account. Also parliamentary candidate in Hampstead & Kilburn @MaajidLibDem,FALSE,33137,362,632,152,26905,Wed Jun 10 09:58:32 +0000 2009,FALSE,FALSE,FALSE,null,null,null,221,147,FALSE,FALSE,FALSE,140,22,FALSE,0,FALSE,0,TRUE,1,FALSE,0,FALSE,0,TRUE,2,FALSE,0,6,5522.833333,60.33333333,4484.166667,non-rumour
"""I do not agree with what you have to say, but I'll defend to the death your right to say it."" -Voltaire #FreeSpeech  #JeSuisCharlie","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Anthony M. Kreis,AnthonyMKreis,"Athens, Georgia",http://t.co/s8YNR2NlDF,"Univ. of Georgia PhD Candidate | School of Public & Int'l Affairs | Studying admin law, con law, legislation, civil & voting rights & political/legal history",FALSE,1431,2001,49,2652,15164,Fri Mar 30 05:09:31 +0000 2012,FALSE,FALSE,FALSE,null,null,null,351,139,FALSE,FALSE,FALSE,132,25,FALSE,0,FALSE,0,TRUE,2,FALSE,0,FALSE,0,TRUE,1,FALSE,0,3,477,667,5054.666667,non-rumour
"Deeply disturbed and saddened by yet another Islamist massacre. 
Shame on religion.  #CharlieHebdo #ParisShooting
. http://t.co/H6yPad7bWD","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Godless Utopia,GodlessUtopia,Atheist / Atheism,http://t.co/mEtj4bsgVH,A Perfect World with No Religion . . . #atheist #atheism,FALSE,13584,8016,147,8692,1885,Fri Oct 04 17:54:19 +0000 2013,FALSE,FALSE,FALSE,null,null,null,104,85,FALSE,FALSE,FALSE,138,16,TRUE,1,FALSE,0,TRUE,2,FALSE,0,FALSE,0,TRUE,3,FALSE,0,2,6792,4008,942.5,non-rumour
Single finger raised by #CharlieHebdo gunman looks like what ISIS fighters often do in battle. http://t.co/6GmumrBndC CC @EliotHiggins,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Sheera Frenkel,sheeraf,n/a,http://t.co/s3NuzNzzxK,"Buzzfeed News Middle East Correspondent. Formerly of The Times of London, NPR, and McClatchy. Tell me a story : sheera.frenkel@buzzfeed.com",TRUE,21791,800,893,1269,9021,Wed Feb 04 13:29:10 +0000 2009,FALSE,FALSE,FALSE,null,null,null,322,70,FALSE,FALSE,FALSE,134,18,TRUE,1,TRUE,1,TRUE,1,FALSE,0,FALSE,0,TRUE,3,FALSE,0,6,3631.833333,133.3333333,1503.5,non-rumour
"You can kill journalists, cartoonists. You can't kill the freedom of the press. You have only made their message stronger. #JeSuisCharlie","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Emily Koch,EmilyKoch22,"Bristol, UK",null,Writer. In love with Bristol. Former @bristolpost deputy news editor. Trying to write something worth reading.,FALSE,3756,380,146,143,4752,Fri Jan 01 17:48:55 +0000 2010,FALSE,FALSE,FALSE,null,null,null,156,63,FALSE,FALSE,FALSE,137,21,FALSE,0,FALSE,0,TRUE,1,FALSE,0,FALSE,0,FALSE,0,FALSE,0,5,751.2,76,950.4,non-rumour
Charlie Hebdo attack: what we know so far  ? live updates http://t.co/FzR7qMoeKB @claire_phipps http://t.co/YDuMHPAHrt,"<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",The Guardian,guardian,London,http://t.co/rrGq778cPt,"Top stories, special features, live blogs and more from http://t.co/rrGq778cPt",TRUE,3090429,1083,35446,130,106925,Thu Nov 05 23:49:19 +0000 2009,FALSE,FALSE,FALSE,null,null,null,285,61,FALSE,FALSE,FALSE,118,15,TRUE,2,TRUE,1,FALSE,0,FALSE,0,FALSE,0,TRUE,7,FALSE,0,6,515071.5,180.5,17820.83333,non-rumour
"We can never allow the barbaric savagery of islamic extremism to defeat our right to free speech. 
#CharlieHebdo http://t.co/YmQqlYNbnx","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>",Rita Panahi,RitaPanahi,"The Peninsula, Vic, Australia",null,"The truth is incontrovertible. Malice may attack it, ignorance may deride it, but in the end, there it is.
Winston Churchill",FALSE,13735,835,98,10179,64541,Thu Mar 19 04:09:43 +0000 2009,FALSE,FALSE,FALSE,null,null,null,178,114,FALSE,FALSE,FALSE,135,19,TRUE,1,FALSE,0,TRUE,1,FALSE,0,FALSE,0,TRUE,3,FALSE,0,6,2289.166667,139.1666667,10756.83333,non-rumour
"A terrorist might appear from among Muslims, but then he loses the qualities that make him Muslim. *** #CharlieHebdo http://t.co/YFQh8QmShP","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",?srafil Aydemir,israfilaydemir,?stanbul,null,Elektrik & Elektronik MÅhendisi,FALSE,36528,1041,63,34,7300,Wed Jun 13 08:05:33 +0000 2012,FALSE,FALSE,FALSE,null,null,null,206,53,FALSE,FALSE,FALSE,139,20,TRUE,1,FALSE,0,TRUE,1,FALSE,0,FALSE,0,TRUE,6,FALSE,0,3,12176,347,2433.333333,non-rumour
"Instead of focusing on the recent dead in Paris, we should keep in mind that Islamists have committed 24,784 deadly attacks since 9/11.","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Think Security,securitythinker,,http://t.co/KjflAdA5KK,"Providing valuable security information, because we all have a lot to lose.",FALSE,9264,4497,176,9,2228,Sat Jun 11 12:06:21 +0000 2011,FALSE,FALSE,FALSE,null,null,null,208,76,FALSE,FALSE,FALSE,135,23,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,1,FALSE,0,4,2316,1124.25,557,non-rumour
You can twist and turn it as you like: Publishing cartoons is not a crime. Using them as an excuse for religious fascism is. #CharlieHebdo,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Julie Lenarz,MsIntervention,London,http://t.co/KZ71Xmieyt,Political adviser. Executive Director Human Security Centre @HS_Centre; Chair of MidEast division; Co-chair Security & Defence.,FALSE,24621,361,553,2204,13176,Thu Dec 08 22:01:46 +0000 2011,FALSE,FALSE,FALSE,null,null,null,178,85,FALSE,FALSE,FALSE,138,25,FALSE,0,FALSE,0,TRUE,1,FALSE,0,FALSE,0,FALSE,0,FALSE,0,4,6155.25,90.25,3294,non-rumour
"Third thought: defending the rights that Charlie Hebdo defended means defending free speech, not attacking Muslims.","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>",Kenan Malik,kenanmalik,London,http://t.co/ok0vGpR7NP,"Writer, lecturer & broadcaster, Columnist for International New York Times. Latest book: The Quest for a Moral Compass: A Global History of Ethics (Atlantic)",FALSE,9954,896,380,2,14505,Tue Jan 06 21:39:03 +0000 2009,FALSE,FALSE,FALSE,null,null,null,109,55,FALSE,FALSE,FALSE,115,16,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,6,1659,149.3333333,2417.5,non-rumour
"BBC reporter noting that Charlie Hebdo also mocks Christians, Jews and atheists. Oddly, though, those groups don't seem to bomb them.","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Jazz Shaw,JazzShaw,New York,http://t.co/G4BtI0EWoV,"Weekend Editor at http://t.co/TgtDhqYBQH. Horseradish farmer. Former Schnauzer walker. Jets fan. Yes, I invented #headdesk hashtag",FALSE,7310,1074,478,40,103184,Sun Dec 27 21:28:19 +0000 2009,FALSE,FALSE,FALSE,null,null,null,152,80,FALSE,FALSE,FALSE,133,21,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,6,1218.333333,179,17197.33333,non-rumour
My family is French. My family is Muslim. I am a journalist. We are grieving. #CharlieHebdo,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Farran Nehme,selfstyledsiren,Brooklyn,http://t.co/ty512bqsd5,Fetishizing the studio era at Self-Styled Siren since 2005. Freelance reviews for NY Post. My novel MISSING REELS is published by the Overlook Press.,FALSE,5765,1750,247,5085,22804,Sat Mar 13 03:39:25 +0000 2010,FALSE,FALSE,FALSE,null,null,null,413,363,FALSE,FALSE,FALSE,91,16,FALSE,0,FALSE,0,TRUE,1,FALSE,0,FALSE,0,FALSE,0,FALSE,0,5,1153,350,4560.8,non-rumour
"Press ""must stand together to send the message that murderous attempts to silence us will not stand"" #CharlieHebdo http://t.co/aiF9kVv9hw","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",CPJ,pressfreedom,International,http://t.co/qzlC7WhHqU,"The Committee to Protect Journalists is an independent, nonprofit organization that promotes #PressFreedom worldwide.",TRUE,77015,797,3583,36,15282,Mon Jan 05 22:54:04 +0000 2009,FALSE,FALSE,FALSE,null,null,null,388,122,FALSE,FALSE,FALSE,137,19,TRUE,1,FALSE,0,TRUE,1,FALSE,0,FALSE,0,TRUE,3,FALSE,0,6,12835.83333,132.8333333,2547,non-rumour
Simply put by our French colleagues in solidarity with the journalists of #CharlieHebdo http://t.co/mXwAsi2N4S,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NeilMackay,NeilMackay,"Irish ex-pat Glasgow, Scotland",http://t.co/L2NfshZIlS,"Journalist, novelist, radio broadcaster, film-maker. Head of News at Sunday Herald. Author of All the Little Guns Went Bang Bang Bang, and The War on Truth",FALSE,6581,2812,76,6687,9781,Wed Dec 10 15:44:03 +0000 2008,FALSE,FALSE,FALSE,null,null,null,172,82,FALSE,FALSE,FALSE,110,14,TRUE,1,FALSE,0,TRUE,1,FALSE,0,FALSE,0,TRUE,3,FALSE,0,7,940.1428571,401.7142857,1397.285714,non-rumour
"Let there be more, not less.  #CharlieHebdo http://t.co/Ut4yuxi30O","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>",SonaliRanade,sonaliranade,Seattle,http://t.co/nQzB3WexVp,Trader,FALSE,54952,1068,726,6624,201936,Sat Jan 26 11:50:50 +0000 2008,FALSE,FALSE,FALSE,null,null,null,218,95,FALSE,FALSE,FALSE,66,9,TRUE,1,FALSE,0,TRUE,1,FALSE,0,FALSE,0,TRUE,3,FALSE,0,7,7850.285714,152.5714286,28848,non-rumour
"Real Muslims have never seen, and cannot see #terrorism as a way for solving their problems.*** #CharlieHebdo http://t.co/sdJvdNxAGM","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",?srafil Aydemir,israfilaydemir,?stanbul,null,Elektrik & Elektronik MÅhendisi,FALSE,36529,1041,63,34,7303,Wed Jun 13 08:05:33 +0000 2012,FALSE,FALSE,FALSE,null,null,null,139,16,FALSE,FALSE,FALSE,132,18,TRUE,1,FALSE,0,TRUE,2,FALSE,0,FALSE,0,TRUE,6,FALSE,0,3,12176.33333,347,2434.333333,non-rumour
"#CHARLIEHEBDO SHOOTING: Gunmen still at large, manhunt underway - LIVE UPDATES http://t.co/3Jsosc7yl3 http://t.co/LzCuCBqQP8","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT,RT_com,,http://t.co/bDDyvy9DmR,"RT, the global news network, broadcasts from Moscow, London and Washington studios to over 100 countries.",TRUE,842346,460,13586,26,105007,Tue Aug 11 06:12:45 +0000 2009,FALSE,FALSE,FALSE,null,null,null,180,51,FALSE,FALSE,FALSE,124,13,TRUE,2,FALSE,0,TRUE,1,FALSE,0,FALSE,0,TRUE,7,FALSE,0,6,140391,76.66666667,17501.16667,non-rumour
"Our statement on the Charlie Hebdo attack: defend freedom of speech, resist hatred. https://t.co/1Ok61nfRwj","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",New Humanist,NewHumanist,London,http://t.co/2cIs5PRaBa,"We're a quarterly journal of ideas, science and culture published by the Rationalist Association. Subscribe here: http://t.co/G6yexDuaug",FALSE,26866,755,1116,17,16284,Mon Jan 26 11:56:25 +0000 2009,FALSE,FALSE,FALSE,null,null,null,105,31,FALSE,FALSE,FALSE,107,14,FALSE,0,FALSE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,3,FALSE,0,6,4477.666667,125.8333333,2714,non-rumour
How the terrorists win: @Telegraph is now blurring the cover Mohammed cartoon of #CharlieHebdo in its reporting http://t.co/DffGzIrQZI,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Yair Rosenberg,Yair_Rosenberg,yrosenberg@tabletmag.com,http://t.co/a3OcIe9hkr,"Writer, @tabletmag. Editor, @IsraelArchives. Religion, politics, pop culture. All errors are the fault of the Koch brothers, George Soros & corporate lobbyists.",FALSE,9228,187,261,2790,22576,Thu Mar 22 03:07:00 +0000 2012,FALSE,FALSE,FALSE,null,null,null,3742,913,FALSE,FALSE,FALSE,134,18,TRUE,1,TRUE,1,TRUE,1,FALSE,0,FALSE,0,TRUE,3,FALSE,0,3,3076,62.33333333,7525.333333,non-rumour
"Freedom of expression is non-negotiable - http://t.co/c8Fm7F6c1k via @IndexCensorship
#jesuischarlie","<a href=""http://www.shareaholic.com"" rel=""nofollow"">shareaholic</a>",Index on Censorship,IndexCensorship,London,http://t.co/DDt706OV7G,The voice of free expression.,FALSE,24142,983,1378,1016,23618,Thu Jan 22 15:00:46 +0000 2009,FALSE,FALSE,FALSE,null,null,null,109,26,FALSE,FALSE,FALSE,100,9,TRUE,1,TRUE,1,TRUE,1,FALSE,0,FALSE,0,TRUE,5,FALSE,0,6,4023.666667,163.8333333,3936.333333,non-rumour
"When free speach die, we die. All thoughts to #CharlieHebdo who on this issue wrote ""Love is stronger than hate"" http://t.co/IizcmJJVOD","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Madelene,MadAxes,Sweden,http://t.co/SlTh4ZkE8t,"Editor in chief, journalist. Star of parallel parking, but is still learning everything else.",FALSE,3492,570,421,73875,5671,Sun Jun 06 14:15:45 +0000 2010,FALSE,FALSE,FALSE,null,null,null,165,111,FALSE,FALSE,FALSE,135,21,TRUE,1,FALSE,0,TRUE,1,FALSE,0,FALSE,0,TRUE,3,FALSE,0,5,698.4,114,1134.2,non-rumour
The Ahmadiyya Muslim Community categorically condemns the attack at Charlie Hebdo. Our thoughts are with the victims: http://t.co/kTsWb7SNaA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",AMJ International,AhmadiyyatIslam,London,http://t.co/wTTloeoSFl,Official Twitter Account of Ahmadiyya Muslim Jamaat,FALSE,12048,4,86,75,3546,Sat Jun 27 13:43:19 +0000 2009,FALSE,FALSE,FALSE,null,null,null,177,50,FALSE,FALSE,FALSE,140,18,TRUE,1,FALSE,0,FALSE,0,FALSE,0,FALSE,0,TRUE,3,FALSE,0,6,2008,0.666666667,591,non-rumour
"A brief history of Charlie Hebdo, the satirical magazine at the centre of today's terror attack in Paris http://t.co/mewhhD9cOm #paris","<a href=""http://www.socialflow.com"" rel=""nofollow"">SocialFlow</a>",The Guardian,guardian,London,http://t.co/rrGq778cPt,"Top stories, special features, live blogs and more from http://t.co/rrGq778cPt",TRUE,3090307,1083,35445,130,106911,Thu Nov 05 23:49:19 +0000 2009,FALSE,FALSE,FALSE,null,null,null,308,95,FALSE,FALSE,FALSE,134,20,TRUE,1,FALSE,0,TRUE,1,FALSE,0,FALSE,0,TRUE,3,FALSE,0,6,515051.1667,180.5,17818.5,non-rumour
